;T;101_t;104_t;118_t;12_t;1_t;34_t;38_t;52_t;60_t;62_t;96_t;;101_t;104_t;118_t;12_t;1_t;34_t;38_t;52_t;60_t;62_t;96_t;;101_t;104_t;118_t;12_t;1_t;34_t;38_t;52_t;60_t;62_t;96_t;;;101_t;104_t;118_t;12_t;1_t;34_t;38_t;52_t;60_t;62_t;96_t
88;535;-1815971.737;-1815971.737;-1815971.737;-1815971.737;-1815971.737;-1815971.737;-1815971.737;-1815971.737;-1815971.737;-1815971.737;-1815971.737;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
89;540;-1815975.163;-1815975.163;-1815975.163;-1815975.163;-1815975.163;-1815975.163;-1815975.163;-1815975.163;-1815975.163;-1815975.163;-1815975.163;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
90;545;-1815978.607;-1815978.607;-1815978.607;-1815978.607;-1815978.607;-1815978.607;-1815978.607;-1815978.607;-1815978.607;-1815978.607;-1815978.607;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
91;550;-1815982.069;-1815982.069;-1815982.069;-1815982.069;-1815982.069;-1815982.069;-1815982.069;-1815982.069;-1815982.069;-1815982.069;-1815982.069;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
92;555;-1815985.549;-1815985.549;-1815985.549;-1815985.549;-1815985.549;-1815985.549;-1815985.549;-1815985.549;-1815985.549;-1815985.549;-1815985.549;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
93;560;-1815989.047;-1815989.047;-1815989.047;-1815989.047;-1815989.047;-1815989.047;-1815989.047;-1815989.047;-1815989.047;-1815989.047;-1815989.047;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
94;565;-1815992.563;-1815992.563;-1815992.563;-1815992.563;-1815992.563;-1815992.563;-1815992.563;-1815992.563;-1815992.563;-1815992.563;-1815992.563;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
95;570;-1815996.097;-1815996.097;-1815996.097;-1815996.097;-1815996.097;-1815996.097;-1815996.097;-1815996.097;-1815996.097;-1815996.097;-1815996.097;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
96;575;-1815999.648;-1815999.648;-1815999.648;-1815999.648;-1815999.648;-1815999.648;-1815999.648;-1815999.648;-1815999.648;-1815999.648;-1815999.648;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
97;580;-1816003.218;-1816003.218;-1816003.218;-1816003.218;-1816003.218;-1816003.218;-1816003.218;-1816003.218;-1816003.218;-1816003.218;-1816003.218;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
