,T,101_t,104_t,118_t,12_t,1_t,34_t,38_t,52_t,60_t,62_t,96_t
108,635.00,-1816043.640,-1816032.915,-1816055.009,-1816035.067,-1816041.929,-1816039.185,-1816038.145,-1816038.111,-1816059.782,-1816043.790,-1816042.829
109,640.00,-1816047.419,-1816036.652,-1816058.739,-1816038.835,-1816045.600,-1816042.970,-1816041.893,-1816041.884,-1816063.556,-1816047.572,-1816046.603
110,645.00,-1816051.215,-1816040.406,-1816062.487,-1816042.621,-1816049.288,-1816046.772,-1816045.657,-1816045.674,-1816067.348,-1816051.370,-1816050.395
111,650.00,-1816055.028,-1816044.177,-1816066.252,-1816046.424,-1816052.993,-1816050.591,-1816049.439,-1816049.482,-1816071.156,-1816055.186,-1816054.204
112,655.00,-1816058.858,-1816047.965,-1816070.033,-1816050.244,-1816056.715,-1816054.428,-1816053.238,-1816053.306,-1816074.981,-1816059.018,-1816058.030
113,660.00,-1816062.705,-1816051.770,-1816073.832,-1816054.081,-1816060.454,-1816058.281,-1816057.054,-1816057.147,-1816078.824,-1816062.868,-1816061.873
114,665.00,-1816066.569,-1816055.592,-1816077.648,-1816057.935,-1816064.210,-1816062.151,-1816060.887,-1816061.005,-1816082.683,-1816066.734,-1816065.733
115,670.00,-1816070.449,-1816059.431,-1816081.480,-1816061.806,-1816067.983,-1816066.038,-1816064.737,-1816064.880,-1816086.559,-1816070.618,-1816069.609
116,675.00,-1816074.347,-1816063.286,-1816085.329,-1816065.693,-1816071.772,-1816069.942,-1816068.603,-1816068.772,-1816090.452,-1816074.518,-1816073.503
117,680.00,-1816078.262,-1816067.159,-1816089.195,-1816069.597,-1816075.579,-1816073.863,-1816072.487,-1816072.680,-1816094.362,-1816078.435,-1816077.413
118,685.00,-1816082.193,-1816071.048,-1816093.078,-1816073.518,-1816079.402,-1816077.800,-1816076.387,-1816076.606,-1816098.288,-1816082.368,-1816081.340
119,690.00,-1816086.141,-1816074.954,-1816096.977,-1816077.456,-1816083.241,-1816081.754,-1816080.303,-1816080.548,-1816102.231,-1816086.318,-1816085.284
120,695.00,-1816090.105,-1816078.876,-1816100.893,-1816081.411,-1816087.098,-1816085.725,-1816084.237,-1816084.506,-1816106.190,-1816090.285,-1816089.244
121,700.00,-1816094.086,-1816082.815,-1816104.825,-1816085.381,-1816090.971,-1816089.712,-1816088.187,-1816088.481,-1816110.166,-1816094.269,-1816093.221
122,705.00,-1816098.084,-1816086.771,-1816108.774,-1816089.369,-1816094.860,-1816093.716,-1816092.153,-1816092.473,-1816114.159,-1816098.269,-1816097.214
123,710.00,-1816102.098,-1816090.743,-1816112.739,-1816093.373,-1816098.766,-1816097.736,-1816096.136,-1816096.481,-1816118.168,-1816102.285,-1816101.224
124,715.00,-1816106.129,-1816094.732,-1816116.721,-1816097.393,-1816102.688,-1816101.773,-1816100.136,-1816100.506,-1816122.193,-1816106.318,-1816105.250
125,720.00,-1816110.175,-1816098.737,-1816120.719,-1816101.430,-1816106.626,-1816105.826,-1816104.151,-1816104.547,-1816126.235,-1816110.367,-1816109.293
126,725.00,-1816114.239,-1816102.758,-1816124.733,-1816105.483,-1816110.581,-1816109.896,-1816108.184,-1816108.604,-1816130.293,-1816114.433,-1816113.352
127,730.00,-1816118.318,-1816106.795,-1816128.764,-1816109.552,-1816114.552,-1816113.981,-1816112.232,-1816112.678,-1816134.368,-1816118.515,-1816117.427
128,735.00,-1816122.414,-1816110.849,-1816132.810,-1816113.638,-1816118.540,-1816118.083,-1816116.297,-1816116.767,-1816138.458,-1816122.613,-1816121.519
129,740.00,-1816126.526,-1816114.919,-1816136.873,-1816117.739,-1816122.543,-1816122.201,-1816120.377,-1816120.873,-1816142.565,-1816126.727,-1816125.627
130,745.00,-1816130.654,-1816119.005,-1816140.952,-1816121.857,-1816126.563,-1816126.335,-1816124.474,-1816124.995,-1816146.687,-1816130.857,-1816129.750
131,750.00,-1816134.798,-1816123.107,-1816145.047,-1816125.991,-1816130.599,-1816130.486,-1816128.587,-1816129.134,-1816150.826,-1816135.003,-1816133.890
132,755.00,-1816138.958,-1816127.225,-1816149.158,-1816130.141,-1816134.650,-1816134.652,-1816132.716,-1816133.288,-1816154.981,-1816139.166,-1816138.046
133,760.00,-1816143.134,-1816131.360,-1816153.285,-1816134.307,-1816138.718,-1816138.834,-1816136.861,-1816137.458,-1816159.152,-1816143.344,-1816142.218
134,765.00,-1816147.326,-1816135.510,-1816157.428,-1816138.489,-1816142.801,-1816143.032,-1816141.022,-1816141.644,-1816163.339,-1816147.538,-1816146.406
